"Año","Zona","Ámbito geográfico","Densidad Poblacional (Hab. / Km­²)","Nº Habitantes","Superficie (km²)"
"2015","Zona Interior","la Vall d'Alcalà","7,40","169","228.510,00"
"2015","Zona Interior","la Vall d'Ebo","7,68","249","324.250,00"
"2015","Zona Interior","la Vall de Gallinera","11,35","609","536.330,00"
"2015","Zona Interior","la Vall de Laguar","35,83","826","230.540,00"
"2015","Zona Intermedia","el Verger","571,38","4.627","80.980,00"
"2015","Zona Costa","els Poblets","897,07","3.303","36.820,00"
"2014","-","Comunitat Valenciana","215,12","5.004.844","232.654.670,00"
"2014","-","Provincia de Alicante","321,13","1.868.438","58.182.940,00"
"2014","-","La Marina Alta","234,66","178.052","7.587.630,00"
"2014","-","Zona Costa","544,35","113.009","2.076.040,00"
"2014","-","Zona Intermedia","201,97","50.954","2.522.790,00"
"2014","-","Zona Interior","47,14","14.089","2.988.830,00"
"2014","Zona Interior","l'Atzúbia","42,74","627","146.700,00"
"2014","Zona Interior","Alcalalí","93,76","1.350","143.980,00"
"2014","Zona Interior","Beniarbeig","251,11","1.859","74.030,00"
"2014","Zona Interior","Benigembla","27,53","508","184.540,00"
"2014","Zona Interior","Benidoleig","158,87","1.189","74.840,00"
"2014","Zona Interior","Benimeli","121,24","419","34.560,00"
"2014","Zona Intermedia","Benissa","165,96","11.572","697.280,00"
"2014","Zona Costa","Poble Nou de Benitatxell","367,17","4.659","126.890,00"
"2014","Zona Costa","Calp","951,00","22.437","235.930,00"
"2014","Zona Interior","Castell de Castells","9,62","442","459.270,00"
"2014","Zona Costa","Dénia","627,58","41.672","664.010,00"
"2014","Zona Intermedia","Gata de Gorgos","294,26","5.985","203.390,00"
"2014","Zona Intermedia","Xaló","80,76","2.793","345.860,00"
"2014","Zona Costa","Xàbia/Jávea","421,79","29.067","689.140,00"
"2014","Zona Intermedia","Llíber","49,24","1.080","219.330,00"
"2014","Zona Interior","Murla","87,56","509","58.130,00"
"2014","Zona Intermedia","Ondara","638,61","6.632","103.850,00"
"2014","Zona Interior","Orba","124,99","2.216","177.300,00"
"2014","Zona Interior","Parcent","86,66","1.020","117.700,00"
"2014","Zona Intermedia","Pedreguer","251,48","7.438","295.770,00"
"2014","Zona Intermedia","Pego","191,95","10.144","528.470,00"
"2014","Zona Interior","el Ràfol d'Almúnia","134,82","659","48.880,00"
"2014","Zona Interior","Sagra","72,53","408","56.250,00"
"2014","Zona Interior","Sanet y Negrals","169,96","670","39.420,00"
"2014","Zona Intermedia","Senija","129,96","622","47.860,00"
"2014","Zona Costa","Teulada","365,78","11.824","323.250,00"
"2014","Zona Interior","Tormos","59,14","317","53.600,00"
"2014","Zona Interior","la Vall d'Alcalà","7,66","175","228.510,00"
"2014","Zona Interior","la Vall d'Ebo","7,83","254","324.250,00"
"2014","Zona Interior","la Vall de Gallinera","11,09","595","536.330,00"
"2014","Zona Interior","la Vall de Laguar","37,82","872","230.540,00"
"2014","Zona Intermedia","el Verger","578,91","4.688","80.980,00"
"2014","Zona Costa","els Poblets","909,83","3.350","36.820,00"
"2013","-","Comunitat Valenciana","219,80","5.113.815","232.654.670,00"
"2013","-","Provincia de Alicante","334,40","1.945.642","58.182.940,00"
"2013","-","La Marina Alta","265,48","201.440","7.587.630,00"
"2013","-","Zona Costa","629,15","130.615","2.076.040,00"
"2013","-","Zona Intermedia","219,84","55.460","2.522.790,00"
"2013","-","Zona Interior","51,41","15.365","2.988.830,00"
"2013","Zona Interior","l'Atzúbia","50,72","744","146.700,00"
"2013","Zona Interior","Alcalalí","97,31","1.401","143.980,00"
"2013","Zona Interior","Beniarbeig","258,68","1.915","74.030,00"
"2013","Zona Interior","Benigembla","30,67","566","184.540,00"
"2013","Zona Interior","Benidoleig","178,11","1.333","74.840,00"
"2013","Zona Interior","Benimeli","125,87","435","34.560,00"
"2013","Zona Intermedia","Benissa","199,80","13.932","697.280,00"
"2013","Zona Costa","Poble Nou de Benitatxell","450,78","5.720","126.890,00"
"2013","Zona Costa","Calp","1.247,91","29.442","235.930,00"
"2013","Zona Interior","Castell de Castells","10,52","483","459.270,00"
"2013","Zona Costa","Dénia","669,42","44.450","664.010,00"
"2013","Zona Intermedia","Gata de Gorgos","308,27","6.270","203.390,00"
"2013","Zona Intermedia","Xaló","96,08","3.323","345.860,00"
"2013","Zona Costa","Xàbia/Jávea","481,02","33.149","689.140,00"
"2013","Zona Intermedia","Llíber","49,74","1.091","219.330,00"
"2013","Zona Interior","Murla","103,91","604","58.130,00"
"2013","Zona Intermedia","Ondara","636,78","6.613","103.850,00"
"2013","Zona Interior","Orba","144,95","2.570","177.300,00"
"2013","Zona Interior","Parcent","93,80","1.104","117.700,00"
"2013","Zona Intermedia","Pedreguer","262,26","7.757","295.770,00"
"2013","Zona Intermedia","Pego","207,33","10.957","528.470,00"
"2013","Zona Interior","el Ràfol d'Almúnia","147,09","719","48.880,00"
"2013","Zona Interior","Sagra","76,80","432","56.250,00"
"2013","Zona Interior","Sanet y Negrals","168,44","664","39.420,00"
"2013","Zona Intermedia","Senija","138,11","661","47.860,00"
"2013","Zona Costa","Teulada","447,08","14.452","323.250,00"
"2013","Zona Interior","Tormos","72,01","386","53.600,00"
"2013","Zona Interior","la Vall d'Alcalà","7,75","177","228.510,00"
"2013","Zona Interior","la Vall d'Ebo","8,67","281","324.250,00"
"2013","Zona Interior","la Vall de Gallinera","11,35","609","536.330,00"
"2013","Zona Interior","la Vall de Laguar","40,86","942","230.540,00"
"2013","Zona Intermedia","el Verger","599,65","4.856","80.980,00"
"2013","Zona Costa","els Poblets","923,95","3.402","36.820,00"
"2012","-","Comunitat Valenciana","220,47","5.129.266","232.654.670,00"
"2012","-","Provincia de Alicante","334,10","1.943.910","58.182.940,00"
"2012","-","La Marina Alta","266,01","201.840","7.587.630,00"
"2012","-","Zona Costa","629,41","130.668","2.076.040,00"
"2012","-","Zona Intermedia","220,30","55.578","2.522.790,00"
"2012","-","Zona Interior","52,17","15.594","2.988.830,00"
"2012","Zona Interior","l'Atzúbia","51,06","749","146.700,00"
"2012","Zona Interior","Alcalalí","99,53","1.433","143.980,00"
"2012","Zona Interior","Beniarbeig","256,92","1.902","74.030,00"
"2012","Zona Interior","Benigembla","31,59","583","184.540,00"
"2012","Zona Interior","Benidoleig","175,71","1.315","74.840,00"
"2012","Zona Interior","Benimeli","122,69","424","34.560,00"
"2012","Zona Intermedia","Benissa","198,03","13.808","697.280,00"
"2012","Zona Costa","Poble Nou de Benitatxell","449,05","5.698","126.890,00"
"2012","Zona Costa","Calp","1.252,49","29.550","235.930,00"
"2012","Zona Interior","Castell de Castells","10,41","478","459.270,00"
"2012","Zona Costa","Dénia","669,49","44.455","664.010,00"
"2012","Zona Intermedia","Gata de Gorgos","311,08","6.327","203.390,00"
"2012","Zona Intermedia","Xaló","95,44","3.301","345.860,00"
"2012","Zona Costa","Xàbia/Jávea","478,61","32.983","689.140,00"
"2012","Zona Intermedia","Llíber","48,83","1.071","219.330,00"
"2012","Zona Interior","Murla","102,87","598","58.130,00"
"2012","Zona Intermedia","Ondara","641,02","6.657","103.850,00"
"2012","Zona Interior","Orba","146,87","2.604","177.300,00"
"2012","Zona Interior","Parcent","96,09","1.131","117.700,00"
"2012","Zona Intermedia","Pedreguer","262,06","7.751","295.770,00"
"2012","Zona Intermedia","Pego","208,70","11.029","528.470,00"
"2012","Zona Interior","el Ràfol d'Almúnia","153,23","749","48.880,00"
"2012","Zona Interior","Sagra","79,29","446","56.250,00"
"2012","Zona Interior","Sanet y Negrals","177,57","700","39.420,00"
"2012","Zona Intermedia","Senija","134,14","642","47.860,00"
"2012","Zona Costa","Teulada","450,98","14.578","323.250,00"
"2012","Zona Interior","Tormos","72,01","386","53.600,00"
"2012","Zona Interior","la Vall d'Alcalà","7,66","175","228.510,00"
"2012","Zona Interior","la Vall d'Ebo","8,82","286","324.250,00"
"2012","Zona Interior","la Vall de Gallinera","12,60","676","536.330,00"
"2012","Zona Interior","la Vall de Laguar","41,60","959","230.540,00"
"2012","Zona Intermedia","el Verger","616,45","4.992","80.980,00"
"2012","Zona Costa","els Poblets","924,50","3.404","36.820,00"
